Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2016,14,12/11 4:25 ET,12/11/2016,SEA,-3.00,GB,47,-$150 +$130,GB,SEA
2016,14,12/11 4:25 ET,12/11/2016,ATL,-5.00,LA,44,-$235 +$195,LA,ATL
2016,14,12/11 8:30 ET,12/11/2016,DAL,-3.50,NYG,47,-$200 +$170,NYG,DAL
2016,13,12/1 8:25 ET,12/1/2016,DAL,-3.00,MIN,43.5,-$170 +$150,MIN,DAL
2016,13,12/4 1:00 ET,12/4/2016,DEN,-3.50,JAX,38.5,-$190 +$165,JAX,DEN
2016,13,12/4 1:00 ET,12/4/2016,ATL,-5.00,KC,50,-$220 +$185,ATL,KC
2016,13,12/4 1:00 ET,12/4/2016,GB,-7.00,HOU,44.5,-$320 +$260,GB,HOU
2016,13,12/4 1:00 ET,12/4/2016,CIN,-1.50,PHI,42,-$125 +$105,CIN,PHI
2016,13,12/4 1:00 ET,12/4/2016,NO,-6.50,DET,53.5,-$280 +$240,NO,DET
2016,13,12/4 1:00 ET,12/4/2016,SF,-1.00,CHI,44,-$120 +$100,CHI,SF
2016,13,12/4 1:00 ET,12/4/2016,NE,-13.50,LA,45,-$950 +$650,NE,LA
2016,13,12/4 1:00 ET,12/4/2016,BAL,-3.50,MIA,41.5,-$185 +$165,BAL,MIA
2016,13,12/4 4:05 ET,12/4/2016,OAK,-3.00,BUF,48.5,-$160 +$140,OAK,BUF
2016,13,12/4 4:25 ET,12/4/2016,SD,-3.50,TB,49,-$180 +$160,SD,TB
2016,13,12/4 4:25 ET,12/4/2016,ARI,-2.50,WAS,48.5,-$140 +$120,ARI,WAS
2016,13,12/4 4:25 ET,12/4/2016,PIT,-6.50,NYG,49.5,-$290 +$240,PIT,NYG
2016,13,12/4 8:30 ET,12/4/2016,SEA,-8.50,CAR,44,-$430 +$340,SEA,CAR
2016,12,11/24 12:30 ET,11/24/2016,DET,-1.50,MIN,42,-$125 +$110,DET,MIN
2016,12,11/24 4:30 ET,11/24/2016,DAL,-6.00,WAS,53.5,-$250 +$210,DAL,WAS
2016,12,11/24 8:30 ET,11/24/2016,PIT,-8.50,IND,49.5,-$410 +$340,IND,PIT
2016,12,11/27 1:00 ET,11/27/2016,SD,-2.50,HOU,46,-$140 +$120,HOU,SD
2016,12,11/27 1:00 ET,11/27/2016,TEN,-6.50,CHI,42,-$280 +$240,CHI,TEN
2016,12,11/27 1:00 ET,11/27/2016,BUF,-8.50,JAX,44,-$410 +$340,BUF,JAX
2016,12,11/27 1:00 ET,11/27/2016,BAL,-3.50,CIN,42,-$175 +$155,BAL,CIN
2016,12,11/27 1:00 ET,11/27/2016,ATL,-4.00,ARI,49,-$200 +$170,ATL,ARI
2016,12,11/27 1:00 ET,11/27/2016,MIA,-7.00,SF,45,-$350 +$290,MIA,SF
2016,12,11/27 1:00 ET,11/27/2016,NO,-8.00,LA,45,-$360 +$300,NO,LA
2016,12,11/27 1:00 ET,11/27/2016,NYG,-6.50,CLE,46.5,-$300 +$250,CLE,NYG
2016,12,11/27 4:05 ET,11/27/2016,SEA,-5.50,TB,46,-$250 +$210,TB,SEA
2016,12,11/27 4:25 ET,11/27/2016,OAK,-3.50,CAR,48.5,-$185 +$165,OAK,CAR
2016,12,11/27 8:30 ET,11/27/2016,DEN,-3.50,KC,40,-$195 +$170,DEN,KC
2016,12,11/27 4:25 ET,11/27/2016,NE,-9.50,NYJ,48,-$500 +$400,NYJ,NE
2016,11,11/17 8:25 ET,11/17/2016,CAR,-3.50,NO,53.5,-$180 +$160,CAR,NO
2016,11,11/20 1:00 ET,11/20/2016,IND,-3.00,TEN,54,-$150 +$130,IND,TEN
2016,11,11/20 1:00 ET,11/20/2016,DET,-5.50,JAX,47,-$240 +$200,DET,JAX
2016,11,11/20 1:00 ET,11/20/2016,KC,-7.00,TB,45,-$320 +$260,KC,TB
2016,11,11/20 1:00 ET,11/20/2016,NYG,-7.00,CHI,41.5,-$300 +$250,NYG,CHI
2016,11,11/20 1:00 ET,11/20/2016,MIN,-2.00,ARI,40,-$130 +$110,MIN,ARI
2016,11,11/20 1:00 ET,11/20/2016,CIN,-2.50,BUF,48,-$140 +$120,CIN,BUF
2016,11,11/20 1:00 ET,11/20/2016,DAL,-7.00,BAL,44.5,-$320 +$260,DAL,BAL
2016,11,11/20 1:00 ET,11/20/2016,PIT,-8.50,CLE,45.5,-$400 +$330,CLE,PIT
2016,11,11/20 4:05 ET,11/20/2016,MIA,-1.00,LA,38.5,-$115  -$105,LA,MIA
2016,11,11/20 4:25 ET,11/20/2016,NE,-11.50,SF,51.5,-$625 +$450,SF,NE
2016,11,11/20 4:25 ET,11/20/2016,SEA,-6.50,PHI,43,-$290 +$245,SEA,PHI
2016,11,11/20 8:30 ET,11/20/2016,WAS,-3.00,GB,48.5,-$145 +$125,WAS,GB
2016,10,11/10 8:25 ET,11/10/2016,BAL,-7.50,CLE,44,-$350 +$290,BAL,CLE
2016,10,11/13 1:00 ET,11/13/2016,JAX,-3.00,HOU,42,-$155 +$135,JAX,HOU
2016,10,11/13 1:00 ET,11/13/2016,CAR,-3.00,KC,44,-$165 +$145,CAR,KC
2016,10,11/13 1:00 ET,11/13/2016,NO,-3.00,DEN,50,-$155 +$135,NO,DEN
2016,10,11/13 1:00 ET,11/13/2016,LA,-1.00,NYJ,38.5,-$120 +$100,NYJ,LA
2016,10,11/13 1:00 ET,11/13/2016,PHI,-1.50,ATL,49,-$125 +$105,PHI,ATL
2016,10,11/13 1:00 ET,11/13/2016,WAS,-2.50,MIN,42,-$145 +$125,WAS,MIN
2016,10,11/13 1:00 ET,11/13/2016,GB,-3.00,TEN,49,-$155 +$135,TEN,GB
2016,10,11/13 1:00 ET,11/13/2016,CHI,-2.50,TB,45,-$145 +$125,TB,CHI
2016,10,11/13 4:05 ET,11/13/2016,SD,-4.50,MIA,49,-$215 +$180,SD,MIA
2016,10,11/13 4:25 ET,11/13/2016,ARI,-14.00,SF,47,-$1050 +$675,ARI,SF
2016,10,11/13 4:25 ET,11/13/2016,PIT,-3.00,DAL,51,-$170 +$150,PIT,DAL
2016,10,11/13 8:30 ET,11/13/2016,NE,-7.50,SEA,49.5,-$350 +$290,NE,SEA
2016,9,11/3 8:25 ET,11/3/2016,ATL,-4.50,TB,49.5,-$210 +$180,TB,ATL
2016,9,11/6 1:00 ET,11/6/2016,KC,-7.00,JAX,43,-$330 +$270,KC,JAX
2016,9,11/6 1:00 ET,11/6/2016,MIN,-5.50,DET,42.5,-$245 +$205,MIN,DET
2016,9,11/6 1:00 ET,11/6/2016,NYG,-3.00,PHI,43,-$155 +$135,NYG,PHI
2016,9,11/6 1:00 ET,11/6/2016,DAL,-7.50,CLE,49.5,-$330 +$270,CLE,DAL
2016,9,11/6 1:00 ET,11/6/2016,MIA,-4.00,NYJ,45,-$200 +$170,MIA,NYJ
2016,9,11/6 1:00 ET,11/6/2016,PIT,-3.00,BAL,46,-$170 +$150,BAL,PIT
2016,9,11/6 4:05 ET,11/6/2016,NO,-5.00,SF,53,-$230 +$190,SF,NO
2016,9,11/6 4:05 ET,11/6/2016,CAR,-3.00,LA,44.5,-$160 +$140,LA,CAR
2016,9,11/6 4:25 ET,11/6/2016,GB,-7.50,IND,52,-$340 +$280,GB,IND
2016,9,11/6 4:25 ET,11/6/2016,SD,-4.00,TEN,47.5,-$185 +$165,SD,TEN
2016,9,11/6 8:30 ET,11/6/2016,OAK,-1.00,DEN,44.5,-$120 +$100,OAK,DEN
2016,8,10/27 8:25 ET,10/27/2016,TEN,-3.00,JAX,43.5,-$150 +$130,TEN,JAX
2016,8,10/30/2017 9:30,10/30/2016,CIN,-3.00,WAS,49.5,-$155 +$135,CIN,WAS
2016,8,10/30 4:25 ET,10/30/2016,ATL,-3.00,GB,51,-$165 +$145,ATL,GB
2016,8,10/30 1:00 ET,10/30/2016,HOU,-1.00,DET,46.5,-$120 +$100,HOU,DET
2016,8,10/30 1:00 ET,10/30/2016,SEA,-1.00,NO,50,-$120 +$100,NO,SEA
2016,8,10/30 1:00 ET,10/30/2016,NE,-6.50,BUF,48.5,-$270 +$230,BUF,NE
2016,8,10/30 1:00 ET,10/30/2016,NYJ,-2.50,CLE,45.5,-$140 +$120,CLE,NYJ
2016,8,10/30 1:00 ET,10/30/2016,TB,0.00,OAK,48,-$110  -$110,TB,OAK
2016,8,10/30 1:00 ET,10/30/2016,KC,-3.00,IND,50.5,-$145 +$120,IND,KC
2016,8,10/30 4:05 ET,10/30/2016,DEN,-3.50,SD,43.5,-$195 +$170,DEN,SD
2016,8,10/30 1:00 ET,10/30/2016,CAR,-2.50,ARI,45.5,-$145 +$125,CAR,ARI
2016,8,10/30 8:30 ET,10/30/2016,DAL,-5.00,PHI,44,-$235 +$195,DAL,PHI
2016,7,10/20 8:25 ET,10/20/2016,GB,-7.50,CHI,46.5,-$360 +$300,GB,CHI
2016,7,10/23 9:30 ET,10/23/2016,NYG,-3.00,LA,45.5,-$150 +$130,LA,NYG
2016,7,10/23 1:00 ET,10/23/2016,MIN,-3.00,PHI,39,-$150 +$130,PHI,MIN
2016,7,10/23 1:00 ET,10/23/2016,KC,-6.50,NO,51.5,-$270 +$230,KC,NO
2016,7,10/23 1:00 ET,10/23/2016,WAS,-1.00,DET,50,-$120 +$100,DET,WAS
2016,7,10/23 1:00 ET,10/23/2016,CIN,-11.50,CLE,46.5,-$600 +$450,CIN,CLE
2016,7,10/23 1:00 ET,10/23/2016,BUF,-2.50,MIA,46,-$140 +$120,MIA,BUF
2016,7,10/23 1:00 ET,10/23/2016,JAX,-2.00,OAK,47.5,-$130 +$110,JAX,OAK
2016,7,10/23 1:00 ET,10/23/2016,TEN,-4.00,IND,48.5,-$210 +$180,TEN,IND
2016,7,10/23 1:00 ET,10/23/2016,NYJ,-2.00,BAL,40.5,-$135 +$115,NYJ,BAL
2016,7,10/23 4:05 ET,10/23/2016,ATL,-5.00,SD,53,-$225 +$195,ATL,SD
2016,7,10/23 4:05 ET,10/23/2016,SF,-1.00,TB,45.5,-$120 +$100,SF,TB
2016,7,10/23 4:25 ET,10/23/2016,NE,-7.50,PIT,49.5,-$340 +$280,PIT,NE
2016,7,10/23 8:30 ET,10/23/2016,ARI,-2.50,SEA,43,-$135 +$115,ARI,SEA
2016,6,10/13 8:25 ET,10/13/2016,DEN,-3.00,SD,44.5,-$155 +$135,SD,DEN
2016,6,10/16 1:00 ET,10/16/2016,NE,-7.50,CIN,48.5,-$370 +$310,NE,CIN
2016,6,10/16 1:00 ET,10/16/2016,NYG,-3.50,BAL,42.5,-$190 +$165,NYG,BAL
2016,6,10/16 1:00 ET,10/16/2016,CAR,-3.00,NO,54,-$145 +$125,NO,CAR
2016,6,10/16 1:00 ET,10/16/2016,PIT,-7.50,MIA,49.5,-$350 +$290,MIA,PIT
2016,6,10/16 1:00 ET,10/16/2016,CHI,-2.50,JAX,46,-$140 +$120,CHI,JAX
2016,6,10/16 1:00 ET,10/16/2016,BUF,-7.50,SF,44,-$340 +$280,BUF,SF
2016,6,10/16 1:00 ET,10/16/2016,DET,-3.00,LA,44.5,-$145 +$125,DET,LA
2016,6,10/16 1:00 ET,10/16/2016,TEN,-7.50,CLE,45,-$340 +$280,TEN,CLE
2016,6,10/16 1:00 ET,10/16/2016,PHI,-3.00,WAS,45,-$160 +$140,WAS,PHI
2016,6,10/16 4:05 ET,10/16/2016,KC,-2.00,OAK,47,-$130 +$110,OAK,KC
2016,6,10/16 4:25 ET,10/16/2016,SEA,-7.00,ATL,45.5,-$290 +$240,SEA,ATL
2016,6,10/16 4:25 ET,10/16/2016,GB,-5.00,DAL,47,-$240 +$200,GB,DAL
2016,6,10/16 8:30 ET,10/16/2016,HOU,-3.00,IND,48,-$165 +$145,HOU,IND
2016,5,10/6 8:25 ET,10/6/2016,ARI,-3.50,SF,42.5,-$195 +$170,SF,ARI
2016,5,10/9 1:00 ET,10/9/2016,MIN,-6.00,HOU,38.5,-$265 +$225,MIN,HOU
