"","Season","Player","Team","Pos","name"
"601",2016,"Marwin Evans","GB","DB","M.Evans"
"602",2016,"Mason Crosby","GB","K","M.Crosby"
"603",2016,"Micah Hyde","GB","SS","M.Hyde"
"604",2016,"Mike Daniels","GB","DE","M.Daniels"
"605",2016,"Mike Pennel","GB","DE","M.Pennel"
"606",2016,"Morgan Burnett","GB","SS","M.Burnett"
"607",2016,"Nick Perry","GB","OLB","N.Perry"
"608",2016,"Quinten Rollins","GB","CB","Q.Rollins"
"609",2016,"Randall Cobb","GB","WR","R.Cobb"
"610",2016,"Richard Rodgers","GB","TE","R.Rodgers"
"611",2016,"Sam Shields","GB","CB","S.Shields"
"612",2016,"Trevor Davis","GB","WR","T.Davis"
"613",2016,"Ty Montgomery","GB","RB","T.Montgomery"
"614",2016,"A.J. Bouye","HOU","CB","A.Bouye"
"615",2016,"Akeem Dent","HOU","OLB","A.Dent"
"616",2016,"Akeem Hunt","HOU","RB","A.Hunt"
"617",2016,"Alfred Blue","HOU","RB","A.Blue"
"618",2016,"Andre Hal","HOU","FS","A.Hal"
"619",2016,"Antonio Smith","HOU","DE","A.Smith"
"620",2016,"Benardrick McKinney","HOU","ILB","B.McKinney"
"621",2016,"Brandon Dunn","HOU","DT","B.Dunn"
"622",2016,"Braxton Miller","HOU","WR","B.Miller"
"623",2016,"Brennan Scarlett","HOU","LB","B.Scarlett"
"624",2016,"Brian Cushing","HOU","ILB","B.Cushing"
"625",2016,"Brian Peters","HOU","LB","B.Peters"
"626",2016,"Brock Osweiler","HOU","QB","B.Osweiler"
"627",2016,"C.J. Fiedorowicz","HOU","TE","C.Fiedorowicz"
"628",2016,"Christian Covington","HOU","DE","C.Covington"
"629",2016,"Corey Moore","HOU","SS","C.Moore"
"630",2016,"D.J. Reader","HOU","DE","D.Reader"
"631",2016,"DeAndre Hopkins","HOU","WR","D.Hopkins"
"632",2016,"Denzel Rice","HOU","SAF","D.Rice"
"633",2016,"Devon Still","HOU","DT","D.Still"
"634",2016,"Don Jones","HOU","DB","D.Jones"
"635",2016,"Eddie Pleasant","HOU","DB","E.Pleasant"
"636",2016,"J.J. Watt","HOU","DE","J.Watt"
"637",2016,"Jadeveon Clowney","HOU","DE","J.Clowney"
"638",2016,"Jaelen Strong","HOU","WR","J.Strong"
"639",2016,"Jay Prosch","HOU","FB","J.Prosch"
"640",2016,"Joel Heath","HOU","DE","J.Heath"
"641",2016,"John Simon","HOU","OLB","J.Simon"
"642",2016,"Johnathan Joseph","HOU","CB","J.Joseph"
"643",2016,"Jonathan Grimes","HOU","RB","J.Grimes"
"644",2016,"K.J. Dillon","HOU","SAF","K.Dillon"
"645",2016,"Kareem Jackson","HOU","CB","K.Jackson"
"646",2016,"Keith Mumphery","HOU","WR","K.Mumphery"
"647",2016,"Kevin Johnson","HOU","CB","K.Johnson"
"648",2016,"Lamar Miller","HOU","RB","L.Miller"
"649",2016,"Lonnie Ballentine","HOU","SAF","L.Ballentine"
"650",2016,"Max Bullough","HOU","ILB","M.Bullough"
"651",2016,"Nick Novak","HOU","K","N.Novak"
"652",2016,"Quintin Demps","HOU","SS","Q.Demps"
"653",2016,"Robert Nelson","HOU","DB","R.Nelson"
"654",2016,"Ryan Griffin","HOU","TE","R.Griffin"
"655",2016,"Shane Lechler","HOU","P","S.Lechler"
"656",2016,"Stephen Anderson","HOU","TE","S.Anderson"
"657",2016,"Tom Savage","HOU","QB","T.Savage"
"658",2016,"Tyler Ervin","HOU","RB","T.Ervin"
"659",2016,"Ufomba Kamalu","HOU","DE","U.Kamalu"
"660",2016,"Vince Wilfork","HOU","NT","V.Wilfork"
"661",2016,"Wendall Williams","HOU","WR","W.Williams"
"662",2016,"Whitney Mercilus","HOU","OLB","W.Mercilus"
"663",2016,"Will Fuller","HOU","WR","W.Fuller"
"664",2016,"Adam Vinatieri","IND","K","A.Vinatieri"
"665",2016,"Akeem Ayers","IND","LB","A.Ayers"
"666",2016,"Andrew Luck","IND","QB","A.Luck"
"667",2016,"Antonio Cromartie","IND","CB","A.Cromartie"
"668",2016,"Antonio Morrison","IND","ILB","A.Morrison"
"669",2016,"Arthur Jones","IND","DE","A.Jones"
"670",2016,"Charles James","IND","DB","C.James"
"671",2016,"Chester Rogers","IND","WR","C.Rogers"
"672",2016,"Chris Carter","IND","LB","C.Carter"
"673",2016,"Chris Milton","IND","DB","C.Milton"
"674",2016,"Clayton Geathers","IND","FS","C.Geathers"
"675",2016,"Curt Maggitt","IND","OLB","C.Maggitt"
"676",2016,"D'Qwell Jackson","IND","ILB","D.Jackson"
"677",2016,"Darius Butler","IND","FS","D.Butler"
"678",2016,"Darryl Morris","IND","DB","D.Morris"
"679",2016,"David Parry","IND","NT","D.Parry"
"680",2016,"Deiontrez Mount","IND","LB","D.Mount"
"681",2016,"Deon King","IND","LB","D.King"
"682",2016,"Devin Street","IND","WR","D.Street"
"683",2016,"Donte Moncrief","IND","WR","D.Moncrief"
"684",2016,"Duke Williams","IND","SS","D.Williams"
"685",2016,"Dwayne Allen","IND","TE","D.Allen"
"686",2016,"Edwin Jackson","IND","ILB","E.Jackson"
"687",2016,"Erik Swoope","IND","TE","E.Swoope"
"688",2016,"Erik Walden","IND","OLB","E.Walden"
"689",2016,"Frank Gore","IND","RB","F.Gore"
"690",2016,"Frankie Williams","IND","CB","F.Williams"
"691",2016,"Hassan Ridgeway","IND","DT","H.Ridgeway"
"692",2016,"Henry Anderson","IND","DE","H.Anderson"
"693",2016,"Jack Doyle","IND","TE","J.Doyle"
"694",2016,"Jordan Todman","IND","RB","J.Todman"
"695",2016,"Josh Ferguson","IND","RB","J.Ferguson"
"696",2016,"Josh McNary","IND","ILB","J.McNary"
"697",2016,"Kendall Langford","IND","DE","K.Langford"
"698",2016,"Kristjan Sokoli","IND","DT","K.Sokoli"
"699",2016,"Lavar Edwards","IND","DE","L.Edwards"
"700",2016,"Luke Rhodes","IND","LB","L.Rhodes"
"701",2016,"Matthias Farley","IND","DB","M.Farley"
"702",2016,"Mike Adams","IND","SS","M.Adams"
"703",2016,"Pat McAfee","IND","P","P.McAfee"
"704",2016,"Patrick Robinson","IND","CB","P.Robinson"
"705",2016,"Phillip Dorsett","IND","WR","P.Dorsett"
"706",2016,"Quan Bray","IND","WR","Q.Bray"
"707",2016,"Rashaan Melvin","IND","CB","R.Melvin"
"708",2016,"Robert Mathis","IND","OLB","R.Mathis"
"709",2016,"Robert Turbin","IND","RB","R.Turbin"
"710",2016,"Scott Tolzien","IND","QB","S.Tolzien"
"711",2016,"T.J. Green","IND","FS","T.Green"
"712",2016,"T.Y. Hilton","IND","WR","T.Hilton"
"713",2016,"T.Y. McGill","IND","DT","T.McGill"
"714",2016,"Trent Cole","IND","OLB","T.Cole"
"715",2016,"Vontae Davis","IND","CB","V.Davis"
"716",2016,"Winston Guy","IND","FS","W.Guy"
"717",2016,"Zach Kerr","IND","DE","Z.Kerr"
"718",2016,"Aaron Colvin","JAX","CB","A.Colvin"
"719",2016,"Abry Jones","JAX","DT","A.Jones"
"720",2016,"Akeem Davis","JAX","DB","A.Davis"
"721",2016,"Alex Ellis","JAX","TE","A.Ellis"
"722",2016,"Allen Hurns","JAX","WR","A.Hurns"
"723",2016,"Allen Robinson","JAX","WR","A.Robinson"
"724",2016,"Arrelious Benn","JAX","WR","A.Benn"
"725",2016,"Ben Koyack","JAX","TE","B.Koyack"
"726",2016,"Blake Bortles","JAX","QB","B.Bortles"
"727",2016,"Brad Nortman","JAX","P","B.Nortman"
"728",2016,"Bronson Hill","JAX","RB","B.Hill"
"729",2016,"Bryan Walters","JAX","WR","B.Walters"
"730",2016,"Chris Ivory","JAX","RB","C.Ivory"
"731",2016,"Chris Smith","JAX","DE","C.Smith"
"732",2016,"Corey Grant","JAX","RB","C.Grant"
"733",2016,"Dan Skuta","JAX","OLB","D.Skuta"
"734",2016,"Dante Fowler","JAX","DE","D.Fowler"
"735",2016,"Davon House","JAX","CB","D.House"
"736",2016,"Denard Robinson","JAX","RB","D.Robinson"
"737",2016,"Hayes Pullard","JAX","OLB","H.Pullard"
"738",2016,"Jalen Ramsey","JAX","CB","J.Ramsey"
"739",2016,"Jared Odrick","JAX","DE","J.Odrick"
"740",2016,"Jarrod Wilson","JAX","DB","J.Wilson"
"741",2016,"Jason Myers","JAX","K","J.Myers"
"742",2016,"Joe Banyard","JAX","RB","J.Banyard"
"743",2016,"Johnathan Cyprien","JAX","SS","J.Cyprien"
"744",2016,"Jordan Hill","JAX","DT","J.Hill"
"745",2016,"Josh Johnson","JAX","CB","J.Johnson"
"746",2016,"Julius Thomas","JAX","TE","J.Thomas"
"747",2016,"Malik Jackson","JAX","DT","M.Jackson"
"748",2016,"Marcedes Lewis","JAX","TE","M.Lewis"
"749",2016,"Marcus Rush","JAX","LB","M.Rush"
"750",2016,"Marqise Lee","JAX","WR","M.Lee"
"751",2016,"Myles Jack","JAX","OLB","M.Jack"
"752",2016,"Neal Sterling","JAX","TE","N.Sterling"
"753",2016,"Paul Posluszny","JAX","MLB","P.Posluszny"
"754",2016,"Peyton Thompson","JAX","DB","P.Thompson"
"755",2016,"Prince Amukamara","JAX","CB","P.Amukamara"
"756",2016,"Rashad Greene","JAX","WR","R.Greene"
"757",2016,"Roy Miller","JAX","DT","R.Miller"
"758",2016,"Sean Porter","JAX","OLB","S.Porter"
"759",2016,"Sen'Derrick Marks","JAX","DT","S.Marks"
"760",2016,"Shane Wynn","JAX","WR","S.Wynn"
"761",2016,"Sheldon Day","JAX","DT","S.Day"
"762",2016,"T.J. Yeldon","JAX","RB","T.Yeldon"
"763",2016,"Tashaun Gipson","JAX","FS","T.Gipson"
"764",2016,"Telvin Smith","JAX","OLB","T.Smith"
"765",2016,"Tony Washington","JAX","WR","T.Washington"
"766",2016,"Tyson Alualu","JAX","DE","T.Alualu"
"767",2016,"Yannick Ngakoue","JAX","DE","Y.Ngakoue"
"768",2016,"Albert Wilson","KC","WR","A.Wilson"
"769",2016,"Alex Smith","KC","QB","A.Smith"
"770",2016,"Allen Bailey","KC","DE","A.Bailey"
"771",2016,"Cairo Santos","KC","K","C.Santos"
"772",2016,"Charcandrick West","KC","RB","C.West"
"773",2016,"Chris Conley","KC","WR","C.Conley"
"774",2016,"Chris Jones","KC","DE","C.Jones"
"775",2016,"D.J. Alexander","KC","ILB","D.Alexander"
"776",2016,"D.J. White","KC","CB","D.White"
"777",2016,"Dadi Nicolas","KC","LB","D.Nicolas"
"778",2016,"Daniel Sorensen","KC","DB","D.Sorensen"
"779",2016,"David King","KC","DE","D.King"
"780",2016,"De'Anthony Thomas","KC","WR","D.Thomas"
"781",2016,"Dee Ford","KC","OLB","D.Ford"
"782",2016,"Demetrius Harris","KC","TE","D.Harris"
"783",2016,"Derrick Johnson","KC","ILB","D.Johnson"
"784",2016,"Dezman Moses","KC","LB","D.Moses"
"785",2016,"Dontari Poe","KC","NT","D.Poe"
"786",2016,"Dustin Colquitt","KC","P","D.Colquitt"
"787",2016,"Eric Berry","KC","SS","E.Berry"
"788",2016,"Eric Murray","KC","CB","E.Murray"
"789",2016,"Frank Zombo","KC","OLB","F.Zombo"
"790",2016,"Jamaal Charles","KC","RB","J.Charles"
"791",2016,"James O'Shaughnessy","KC","TE","J.O'Shaughnessy"
"792",2016,"Jarvis Jenkins","KC","DT","J.Jenkins"
"793",2016,"Jaye Howard","KC","DE","J.Howard"
"794",2016,"Jeremy Maclin","KC","WR","J.Maclin"
"795",2016,"Justin Houston","KC","OLB","J.Houston"
"796",2016,"Justin March-Lillard","KC","ILB","J.March-Lillard"
"797",2016,"Kendall Reyes","KC","DT","K.Reyes"
"798",2016,"Kenneth Acker","KC","CB","K.Acker"
"799",2016,"Knile Davis","KC","RB","K.Davis"
"800",2016,"Marcus Peters","KC","CB","M.Peters"
"801",2016,"Nick Foles","KC","QB","N.Foles"
"802",2016,"Phillip Gaines","KC","CB","P.Gaines"
"803",2016,"Rakeem Nunez-Roches","KC","DT","R.Nunez-Roches"
"804",2016,"Ramik Wilson","KC","ILB","R.Wilson"
"805",2016,"Ron Parker","KC","FS","R.Parker"
"806",2016,"Ross Travis","KC","TE","R.Travis"
"807",2016,"Spencer Ware","KC","RB","S.Ware"
"808",2016,"Steven Nelson","KC","CB","S.Nelson"
"809",2016,"T.J. Barnes","KC","DT","T.Barnes"
"810",2016,"Tamba Hali","KC","OLB","T.Hali"
"811",2016,"Terrance Mitchell","KC","DB","T.Mitchell"
"812",2016,"Terrance Smith","KC","ILB","T.Smith"
"813",2016,"Travis Kelce","KC","TE","T.Kelce"
"814",2016,"Tyreek Hill","KC","WR","T.Hill"
"815",2016,"A.J. Hendy","MIA","DB","A.Hendy"
"816",2016,"Andre Branch","MIA","DE","A.Branch"
"817",2016,"Andrew Franks","MIA","K","A.Franks"
"818",2016,"Arian Foster","MIA","RB","A.Foster"
"819",2016,"Bacarri Rambo","MIA","FS","B.Rambo"
"820",2016,"Bobby McCain","MIA","CB","B.McCain"
"821",2016,"Byron Maxwell","MIA","CB","B.Maxwell"
"822",2016,"Cameron Wake","MIA","DE","C.Wake"
"823",2016,"Chimdi Chekwa","MIA","DB","C.Chekwa"
"824",2016,"Chris Culliver","MIA","DB","C.Culliver"
"825",2016,"Damien Williams","MIA","RB","D.Williams"
"826",2016,"DeVante Parker","MIA","WR","D.Parker"
"827",2016,"Dion Sims","MIA","TE","D.Sims"
"828",2016,"Dominique Jones","MIA","TE","D.Jones"
"829",2016,"Donald Butler","MIA","OLB","D.Butler"
"830",2016,"Earl Mitchell","MIA","DT","E.Mitchell"
"831",2016,"Isa Abdul-Quddus","MIA","SS","I.Abdul-Quddus"
"832",2016,"Isaiah Pead","MIA","RB","I.Pead"
"833",2016,"Jakeem Grant","MIA","WR","J.Grant"
"834",2016,"Jarvis Landry","MIA","WR","J.Landry"
"835",2016,"Jason Jones","MIA","DE","J.Jones"
"836",2016,"Jay Ajayi","MIA","RB","J.Ajayi"
"837",2016,"Jelani Jenkins","MIA","OLB","J.Jenkins"
"838",2016,"Jordan Cameron","MIA","TE","J.Cameron"
"839",2016,"Jordan Lucas","MIA","SS","J.Lucas"
"840",2016,"Jordan Phillips","MIA","DT","J.Phillips"
"841",2016,"Julius Warmsley","MIA","DE","J.Warmsley"
"842",2016,"Kenny Stills","MIA","WR","K.Stills"
"843",2016,"Kenyan Drake","MIA","RB","K.Drake"
"844",2016,"Kiko Alonso","MIA","MLB","K.Alonso"
"845",2016,"Koa Misi","MIA","OLB","K.Misi"
"846",2016,"Lafayette Pitts","MIA","DB","L.Pitts"
"847",2016,"Leon Orr","MIA","DT","L.Orr"
"848",2016,"Leonte Carroo","MIA","WR","L.Carroo"
"849",2016,"Mario Williams","MIA","DE","M.Williams"
"850",2016,"MarQueis Gray","MIA","TE","M.Gray"
"851",2016,"Matt Darr","MIA","P","M.Darr"
"852",2016,"Matt Moore","MIA","QB","M.Moore"
"853",2016,"Michael Thomas","MIA","FS","M.Thomas"
"854",2016,"Mike Hull","MIA","LB","M.Hull"
"855",2016,"Ndamukong Suh","MIA","DT","N.Suh"
"856",2016,"Neville Hewitt","MIA","OLB","N.Hewitt"
"857",2016,"Nick Williams","MIA","DT","N.Williams"
"858",2016,"Reshad Jones","MIA","FS","R.Jones"
"859",2016,"Ryan Tannehill","MIA","QB","R.Tannehill"
"860",2016,"Spencer Paysinger","MIA","LB","S.Paysinger"
"861",2016,"Terrence Fede","MIA","DE","T.Fede"
"862",2016,"Tony Lippett","MIA","CB","T.Lippett"
"863",2016,"Trevor Reilly","MIA","LB","T.Reilly"
"864",2016,"Walt Aikens","MIA","FS","W.Aikens"
"865",2016,"Xavien Howard","MIA","CB","X.Howard"
"866",2016,"Adam Thielen","MIN","WR","A.Thielen"
"867",2016,"Adrian Peterson","MIN","RB","A.Peterson"
"868",2016,"Andrew Sendejo","MIN","SS","A.Sendejo"
"869",2016,"Anthony Barr","MIN","OLB","A.Barr"
"870",2016,"Anthony Harris","MIN","FS","A.Harris"
"871",2016,"Audie Cole","MIN","MLB","A.Cole"
"872",2016,"Blair Walsh","MIN","K","B.Walsh"
"873",2016,"Brian Robison","MIN","DE","B.Robison"
"874",2016,"Captain Munnerlyn","MIN","CB","C.Munnerlyn"
"875",2016,"Chad Greenway","MIN","OLB","C.Greenway"
"876",2016,"Charles Johnson","MIN","WR","C.Johnson"
"877",2016,"Cordarrelle Patterson","MIN","WR","C.Patterson"
"878",2016,"Danielle Hunter","MIN","DE","D.Hunter"
"879",2016,"David Morgan","MIN","TE","D.Morgan"
"880",2016,"Edmond Robinson","MIN","OLB","E.Robinson"
"881",2016,"Emmanuel Lamur","MIN","LB","E.Lamur"
"882",2016,"Eric Kendricks","MIN","MLB","E.Kendricks"
"883",2016,"Everson Griffen","MIN","DE","E.Griffen"
"884",2016,"Harrison Smith","MIN","FS","H.Smith"
"885",2016,"Isaac Fruechte","MIN","WR","I.Fruechte"
"886",2016,"Jarius Wright","MIN","WR","J.Wright"
"887",2016,"Jayron Kearse","MIN","SS","J.Kearse"
"888",2016,"Jeff Locke","MIN","P","J.Locke"
"889",2016,"Jerick McKinnon","MIN","RB","J.McKinnon"
"890",2016,"Justin Trattou","MIN","DE","J.Trattou"
"891",2016,"Kai Forbath","MIN","K","K.Forbath"
"892",2016,"Kentrell Brothers","MIN","OLB","K.Brothers"
"893",2016,"Kyle Rudolph","MIN","TE","K.Rudolph"
"894",2016,"Laquon Treadwell","MIN","WR","L.Treadwell"
"895",2016,"Linval Joseph","MIN","DT","L.Joseph"
"896",2016,"Mackensie Alexander","MIN","CB","M.Alexander"
"897",2016,"Marcus Sherels","MIN","CB","M.Sherels"
"898",2016,"Matt Asiata","MIN","RB","M.Asiata"
"899",2016,"Rhett Ellison","MIN","TE","R.Ellison"
"900",2016,"Sam Bradford","MIN","QB","S.Bradford"
"901",2016,"Shamar Stephen","MIN","DT","S.Stephen"
"902",2016,"Sharrif Floyd","MIN","DT","S.Floyd"
"903",2016,"Shaun Hill","MIN","QB","S.Hill"
"904",2016,"Stefon Diggs","MIN","WR","S.Diggs"
"905",2016,"Stephen Weatherly","MIN","DE","S.Weatherly"
"906",2016,"Terence Newman","MIN","CB","T.Newman"
"907",2016,"Toby Johnson","MIN","DT","T.Johnson"
"908",2016,"Tom Johnson","MIN","DT","T.Johnson"
"909",2016,"Trae Waynes","MIN","CB","T.Waynes"
"910",2016,"Xavier Rhodes","MIN","CB","X.Rhodes"
"911",2016,"Zach Line","MIN","FB","Z.Line"
"912",2016,"Alan Branch","NE","DE","A.Branch"
"913",2016,"Barkevious Mingo","NE","LB","B.Mingo"
"914",2016,"Brandon Bolden","NE","RB","B.Bolden"
"915",2016,"Brandon King","NE","DB","B.King"
"916",2016,"Chris Hogan","NE","WR","C.Hogan"
"917",2016,"Chris Long","NE","DE","C.Long"
"918",2016,"Cyrus Jones","NE","CB","C.Jones"
"919",2016,"D.J. Foster","NE","RB","D.Foster"
"920",2016,"Danny Amendola","NE","WR","D.Amendola"
"921",2016,"Darius Kilgo","NE","DT","D.Kilgo"
"922",2016,"Devin McCourty","NE","FS","D.McCourty"
"923",2016,"Dion Lewis","NE","RB","D.Lewis"
"924",2016,"Dont'a Hightower","NE","MLB","D.Hightower"
"925",2016,"Duron Harmon","NE","FS","D.Harmon"
"926",2016,"Elandon Roberts","NE","OLB","E.Roberts"
"927",2016,"Eric Rowe","NE","CB","E.Rowe"
"928",2016,"Geneo Grissom","NE","OLB","G.Grissom"
"929",2016,"Jabaal Sheard","NE","DE","J.Sheard"
"930",2016,"Jacoby Brissett","NE","QB","J.Brissett"
"931",2016,"James Develin","NE","FB","J.Develin"
"932",2016,"James White","NE","RB","J.White"
"933",2016,"Jimmy Garoppolo","NE","QB","J.Garoppolo"
"934",2016,"Jonathan Freeny","NE","OLB","J.Freeny"
"935",2016,"Jonathan Jones","NE","CB","J.Jones"
"936",2016,"Jordan Richards","NE","SS","J.Richards"
"937",2016,"Julian Edelman","NE","WR","J.Edelman"
"938",2016,"Justin Coleman","NE","CB","J.Coleman"
"939",2016,"Kyle Van Noy","NE","OLB","K.Noy"
"940",2016,"LeGarrette Blount","NE","RB","L.Blount"
"941",2016,"Logan Ryan","NE","CB","L.Ryan"
"942",2016,"Malcolm Butler","NE","CB","M.Butler"
"943",2016,"Malcolm Mitchell","NE","WR","M.Mitchell"
"944",2016,"Malcom Brown","NE","DT","M.Brown"
"945",2016,"Martellus Bennett","NE","TE","M.Bennett"
"946",2016,"Matt Lengel","NE","TE","M.Lengel"
"947",2016,"Matthew Slater","NE","WR","M.Slater"
"948",2016,"Michael Floyd","NE","WR","M.Floyd"
"949",2016,"Nate Ebner","NE","DB","N.Ebner"
"950",2016,"Patrick Chung","NE","SS","P.Chung"
"951",2016,"Rob Gronkowski","NE","TE","R.Gronkowski"
"952",2016,"Rob Ninkovich","NE","OLB","R.Ninkovich"
"953",2016,"Ryan Allen","NE","P","R.Allen"
"954",2016,"Shea McClellin","NE","OLB","S.McClellin"
"955",2016,"Stephen Gostkowski","NE","K","S.Gostkowski"
"956",2016,"Tom Brady","NE","QB","T.Brady"
"957",2016,"Trey Flowers","NE","DE","T.Flowers"
"958",2016,"Vincent Valentine","NE","NT","V.Valentine"
"959",2016,"Woodrow Hamilton","NE","DT","W.Hamilton"
"960",2016,"B.W. Webb","NO","CB","B.Webb"
"961",2016,"Brandin Cooks","NO","WR","B.Cooks"
"962",2016,"Brandon Coleman","NO","WR","B.Coleman"
"963",2016,"Cameron Jordan","NO","DE","C.Jordan"
"964",2016,"Chris Banjo","NO","CB","C.Banjo"
"965",2016,"Coby Fleener","NO","TE","C.Fleener"
"966",2016,"Craig Robertson","NO","OLB","C.Robertson"
"967",2016,"Daniel Lasco","NO","RB","D.Lasco"
"968",2016,"Dannell Ellerbe","NO","OLB","D.Ellerbe"
"969",2016,"Darryl Tapp","NO","DE","D.Tapp"
"970",2016,"David Onyemata","NO","DT","D.Onyemata"
"971",2016,"De'Vante Harris","NO","CB","D.Harris"
"972",2016,"Delvin Breaux","NO","CB","D.Breaux"
"973",2016,"Drew Brees","NO","QB","D.Brees"
"974",2016,"Erik Harris","NO","DB","E.Harris"
"975",2016,"Jairus Byrd","NO","FS","J.Byrd"
"976",2016,"James Laurinaitis","NO","ILB","J.Laurinaitis"
"977",2016,"Jason Trusnik","NO","LB","J.Trusnik"
"978",2016,"John Kuhn","NO","FB","J.Kuhn"
"979",2016,"John Phillips","NO","TE","J.Phillips"
"980",2016,"Josh Hill","NO","TE","J.Hill"
"981",2016,"Kasim Edebali","NO","DE","K.Edebali"
"982",2016,"Ken Crawley","NO","CB","K.Crawley"
"983",2016,"Kenny Vaccaro","NO","SS","K.Vaccaro"
"984",2016,"Marcus Murphy","NO","RB","M.Murphy"
"985",2016,"Mark Ingram","NO","RB","M.Ingram"
"986",2016,"Michael Mauti","NO","OLB","M.Mauti"
"987",2016,"Michael Thomas","NO","WR","M.Thomas"
"988",2016,"Nate Stupar","NO","ILB","N.Stupar"
"989",2016,"Nick Fairley","NO","DT","N.Fairley"
"990",2016,"Obum Gwacham","NO","DE","O.Gwacham"
"991",2016,"P.J. Williams","NO","CB","P.Williams"
"992",2016,"Paul Kruger","NO","DE","P.Kruger"
"993",2016,"Robenson Therezie","NO","FS","R.Therezie"
"994",2016,"Roman Harper","NO","SS","R.Harper"
"995",2016,"Sam Barrington","NO","LB","S.Barrington"
"996",2016,"Sheldon Rankins","NO","DT","S.Rankins"
"997",2016,"Shiloh Keo","NO","DB","S.Keo"
"998",2016,"Stephone Anthony","NO","OLB","S.Anthony"
"999",2016,"Sterling Moore","NO","CB","S.Moore"
"1000",2016,"Taveze Calhoun","NO","CB","T.Calhoun"
"1001",2016,"Thomas Morstead","NO","P","T.Morstead"
"1002",2016,"Tim Hightower","NO","RB","T.Hightower"
"1003",2016,"Tommylee Lewis","NO","WR","T.Lewis"
"1004",2016,"Travaris Cadet","NO","RB","T.Cadet"
"1005",2016,"Travis Feeney","NO","OLB","T.Feeney"
"1006",2016,"Tyeler Davison","NO","DT","T.Davison"
"1007",2016,"Vonn Bell","NO","SS","V.Bell"
"1008",2016,"Wil Lutz","NO","K","W.Lutz"
"1009",2016,"Willie Snead","NO","WR","W.Snead"
"1010",2016,"Andrew Adams","NYG","FS","A.Adams"
"1011",2016,"B.J. Goodson","NYG","OLB","B.Goodson"
"1012",2016,"Bobby Rainey","NYG","RB","B.Rainey"
"1013",2016,"Brad Wing","NYG","P","B.Wing"
"1014",2016,"Coty Sensabaugh","NYG","CB","C.Sensabaugh"
"1015",2016,"Damon Harrison","NYG","DT","D.Harrison"
"1016",2016,"Darian Thompson","NYG","FS","D.Thompson"
"1017",2016,"Deontae Skinner","NYG","LB","D.Skinner"
"1018",2016,"Devon Kennard","NYG","OLB","D.Kennard"
"1019",2016,"Dominique Rodgers-Cromartie","NYG","CB","D.Rodgers-Cromartie"
"1020",2016,"Dwayne Harris","NYG","WR","D.Harris"
"1021",2016,"Eli Apple","NYG","CB","E.Apple"
"1022",2016,"Eli Manning","NYG","QB","E.Manning"
"1023",2016,"Eric Pinkins","NYG","DB","E.Pinkins"
"1024",2016,"Ishaq Williams","NYG","DE","I.Williams"
"1025",2016,"J.T. Thomas","NYG","OLB","J.Thomas"
"1026",2016,"Janoris Jenkins","NYG","CB","J.Jenkins"
"1027",2016,"Jason Pierre-Paul","NYG","DE","J.Pierre-Paul"
"1028",2016,"Jay Bromley","NYG","DT","J.Bromley"
"1029",2016,"Jerell Adams","NYG","TE","J.Adams"
"1030",2016,"Johnathan Hankins","NYG","DT","J.Hankins"
"1031",2016,"Jonathan Casillas","NYG","OLB","J.Casillas"
"1032",2016,"Josh Brown","NYG","K","J.Brown"
"1033",2016,"Keenan Robinson","NYG","LB","K.Robinson"
"1034",2016,"Kelvin Sheppard","NYG","MLB","K.Sheppard"
"1035",2016,"Kerry Wynn","NYG","DE","K.Wynn"
"1036",2016,"Landon Collins","NYG","SS","L.Collins"
"1037",2016,"Larry Donnell","NYG","TE","L.Donnell"
"1038",2016,"Leon Hall","NYG","DB","L.Hall"
"1039",2016,"Mark Herzlich","NYG","OLB","M.Herzlich"
"1040",2016,"Michael Hunter","NYG","CB","M.Hunter"
"1041",2016,"Montori Hughes","NYG","DT","M.Hughes"
"1042",2016,"Mykkele Thompson","NYG","DB","M.Thompson"
"1043",2016,"Nat Berhe","NYG","FS","N.Berhe"
"1044",2016,"Odell Beckham","NYG","WR","O.Beckham"
"1045",2016,"Olivier Vernon","NYG","DE","O.Vernon"
"1046",2016,"Orleans Darkwa","NYG","RB","O.Darkwa"
"1047",2016,"Owa Odighizuwa","NYG","DE","O.Odighizuwa"
"1048",2016,"Paul Perkins","NYG","RB","P.Perkins"
"1049",2016,"Rashad Jennings","NYG","RB","R.Jennings"
"1050",2016,"Robbie Gould","NYG","K","R.Gould"
"1051",2016,"Robert Thomas","NYG","NT","R.Thomas"
"1052",2016,"Roger Lewis","NYG","WR","R.Lewis"
"1053",2016,"Romeo Okwara","NYG","DE","R.Okwara"
"1054",2016,"Shane Vereen","NYG","RB","S.Vereen"
"1055",2016,"Sterling Shepard","NYG","WR","S.Shepard"
"1056",2016,"Tavarres King","NYG","WR","T.King"
"1057",2016,"Trevin Wade","NYG","CB","T.Wade"
"1058",2016,"Victor Cruz","NYG","WR","V.Cruz"
"1059",2016,"Will Tye","NYG","TE","W.Tye"
"1060",2016,"Anthony Johnson","NYJ","DT","A.Johnson"
"1061",2016,"Antonio Allen","NYJ","DB","A.Allen"
"1062",2016,"Arthur Brown","NYJ","LB","A.Brown"
"1063",2016,"Austin Seferian-Jenkins","NYJ","TE","A.Seferian-Jenkins"
"1064",2016,"Bilal Powell","NYJ","RB","B.Powell"
