Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2016,1,9/11 8:30 ET,9/11/2016,At Arizona,-8.5,New England,44,-$400 +$330,ARI,NE
2016,1,9/12 7:10 ET,9/12/2016,Pittsburgh,-2.5,At Washington,49,-$140 +$120,WAS,PIT
2016,1,9/12 10:20 ET,9/12/2016,Los Angeles,-2.5,At San Francisco,43.5,-$145 +$125,SF,LA
2016,3,9/26 8:30 ET,9/26/2016,At New Orleans,-3,Atlanta,54.5,-$155 +$135,NO,ATL
2016,4,10/3 8:30 ET,10/3/2016,At Minnesota,-4,NY Giants,42.5,-$185 +$165,MIN,NYG
2016,5,10/10 8:30 ET,10/10/2016,At Carolina,-6,Tampa Bay,47,-$260 +$220,CAR,TB
2016,6,10/17 8:30 ET,10/17/2016,At Arizona,-7,NY Jets,46,-$350 +$290,ARI,NYJ
2016,7,10/24 8:30 ET,10/24/2016,At Denver,-8.5,Houston,40,-$420 +$350,DEN,HOU
2016,8,10/31 8:30 ET,10/31/2016,Minnesota,-5.5,At Chicago,39.5,-$250 +$210,CHI,MIN
2016,9,11/7 8:30 ET,11/7/2016,At Seattle,-6,Buffalo,43.5,-$250 +$210,SEA,BUF
2016,10,11/14 8:30 ET,11/14/2016,At NY Giants, PK,Cincinnati,49.5,-$110  -$110,NYG,CIN
2016,11,11/21 8:30 ET,11/21/2016,Oakland,-6.5,Houston,46,-$280 +$240,OAK,HOU
2016,12,11/28 8:30 ET,11/28/2016,At Philadelphia,-4,Green Bay,47.5,-$195 +$170,PHI,GB
2016,13,12/5 8:30 ET,12/5/2016,At NY Jets,-1,Indianapolis,48.5,-$120 +$100,NYJ,IND
2016,14,12/12 8:30 ET,12/12/2016,At New England,-6,Baltimore,45.5,-$260 +$220,NE,BAL
2016,15,12/19 8:30 ET,12/19/2016,At Washington,-7,Carolina,51,-$310 +$260,WAS,CAR
2016,16,12/26 8:30 ET,12/26/2016,At Dallas,-6.5,Detroit,46,-$270 +$230,DAL,DET
